,country_name,alpha_3_code,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ES,Spain,ESP,5.632426738739014,5.709046363830566,5.97743034362793,5.952692031860352,6.21381950378418,6.2609429359436035,6.3554205894470215,6.692953586578369,6.968853950500488,7.290960788726807,7.234694004058838,7.233272552490234,7.600985527038574,8.055663108825684,8.358311653137207,9.065301895141602,9.507164001464844,9.562273025512695,10.218854904174805,10.758672714233398,11.122406959533691,11.640715599060059,12.248180389404297,12.58447551727295,12.749398231506348,12.919292449951172,13.648259162902832,14.215225219726562,14.891273498535156,15.257340431213379,15.22167682647705,15.648391723632812,15.469596862792969,16.051082611083984,16.51734161376953
MA,Morocco,MAR,5.957896709442139,5.864959239959717,6.03061580657959,5.84239387512207,5.961035251617432,5.687641620635986,5.891905307769775,5.848555564880371,5.92402982711792,6.0463738441467285,6.272478103637695,6.011006832122803,6.038010120391846,6.234989643096924,6.51968240737915,7.007724285125732,7.119658946990967,7.465755462646484,7.877137660980225,8.564616203308105,8.962644577026367,9.392338752746582,9.654337882995605,10.256361961364746,10.723610877990723,11.239411354064941,11.681879997253418,12.331543922424316,12.712471961975098,13.098165512084961,13.491823196411133,13.91262149810791,14.487485885620117,15.189173698425293,15.643058776855469
DZ,Algeria,DZA,5.311692237854004,5.4712300300598145,5.380914211273193,5.2190680503845215,5.391296863555908,5.592541217803955,5.833993911743164,5.797540664672852,6.006390571594238,5.968939304351807,6.048467636108398,6.219959735870361,6.772675514221191,6.791244983673096,6.967130661010742,7.078045845031738,7.427660942077637,7.8194732666015625,8.075927734375,8.368423461914062,8.808135032653809,9.0820951461792,9.146632194519043,9.636545181274414,10.366086959838867,11.359212875366211,11.680991172790527,12.06013298034668,12.553657531738281,13.211993217468262,13.769874572753906,13.74581241607666,14.664809226989746,15.51175308227539,16.027212142944336
LY,Libyan Arab Jamahiriya,LBY,5.735692977905273,6.371515274047852,6.504240036010742,6.738484859466553,6.747347831726074,7.105704307556152,7.413872241973877,7.649755477905273,7.879089832305908,7.987069129943848,8.185449600219727,8.650402069091797,8.772163391113281,9.187116622924805,9.71866512298584,10.079712867736816,10.633116722106934,10.944330215454102,11.407757759094238,11.519235610961914,11.639307022094727,11.602569580078125,11.780879020690918,12.154784202575684,12.458783149719238,13.192545890808105,13.482592582702637,14.103192329406738,15.011856079101562,15.532071113586426,16.222394943237305,16.623897552490234,17.175939559936523,17.698200225830078,18.274662017822266
EG,Egypt,EGY,5.564727306365967,6.308018207550049,6.59749174118042,6.982720375061035,7.0447845458984375,7.595828056335449,7.820617198944092,7.952953815460205,8.184596061706543,8.299769401550293,8.533285140991211,8.986322402954102,9.177342414855957,9.42136001586914,10.048491477966309,10.506824493408203,11.122282028198242,11.410664558410645,11.824795722961426,12.0297269821167,12.162696838378906,12.149389266967773,12.274229049682617,12.558931350708008,12.939386367797852,13.533952713012695,13.772720336914062,14.302191734313965,14.626164436340332,14.788402557373047,15.134795188903809,15.001550674438477,15.164277076721191,15.235066413879395,15.7288179397583
IL,Israel,ISR,5.2198381423950195,5.553391456604004,5.724471092224121,5.983369827270508,5.823469161987305,5.924637317657471,6.017053604125977,5.947651386260986,5.9838666915893555,6.148856163024902,6.346303939819336,6.5044331550598145,6.699950695037842,6.953688144683838,7.3013715744018555,7.640868186950684,8.014190673828125,8.20582103729248,8.435417175292969,8.549840927124023,8.493860244750977,8.535490989685059,8.7771577835083,9.024913787841797,9.097854614257812,9.746779441833496,9.917329788208008,10.263466835021973,10.590604782104492,10.747506141662598,10.983382225036621,11.31437873840332,11.33692455291748,11.61428451538086,12.216411590576172
JO,Jordan,JOR,4.522165298461914,4.552850246429443,4.93716287612915,5.181070804595947,5.275293827056885,5.3155741691589355,5.497994422912598,5.448782920837402,5.635527610778809,5.695221424102783,6.115614414215088,6.262078762054443,6.514319896697998,6.599296569824219,6.8036208152771,7.107248306274414,7.327142238616943,7.786041259765625,8.058767318725586,8.091719627380371,8.22142505645752,8.346490859985352,8.46855354309082,8.863249778747559,9.053936958312988,9.569025993347168,9.852044105529785,10.274055480957031,10.602532386779785,10.791584014892578,11.0563325881958,11.399641990661621,11.456562995910645,11.70818042755127,12.12529468536377
PT,Portugal,PRT,6.294404029846191,6.283156871795654,6.590076446533203,6.419950008392334,6.6592488288879395,6.183926105499268,6.244081974029541,6.4352521896362305,6.595723628997803,6.829751491546631,6.827785968780518,6.999142646789551,7.139826774597168,7.389272689819336,7.574649333953857,8.139592170715332,8.480464935302734,8.466154098510742,8.804357528686523,9.25578784942627,9.40342903137207,9.540541648864746,9.766800880432129,10.100446701049805,10.42749309539795,10.376240730285645,10.82561206817627,11.130640029907227,11.131744384765625,11.206915855407715,11.556760787963867,11.64702033996582,11.581609725952148,12.15543270111084,12.144125938415527
PS,"Palestinian Territory, Occupied",PSE,5.17317533493042,5.514445781707764,5.670760154724121,5.937208652496338,5.777558326721191,5.883896827697754,5.965274810791016,5.901305198669434,5.938958168029785,6.1081037521362305,6.179793834686279,6.454919338226318,6.694578170776367,6.950611114501953,7.3095831871032715,7.65170955657959,8.018836975097656,8.220520973205566,8.481636047363281,8.622596740722656,8.553994178771973,8.600377082824707,8.84204387664795,9.081231117248535,9.168423652648926,9.8087739944458,9.96260929107666,10.304914474487305,10.43958854675293,10.250925064086914,10.176844596862793,10.343230247497559,10.288053512573242,10.448445320129395,11.217745780944824
TN,Tunisia,TUN,5.4752373695373535,5.424674034118652,5.434375762939453,5.215816020965576,5.506114482879639,5.704944610595703,5.961137294769287,6.062173366546631,6.122564792633057,6.331292152404785,6.321450233459473,6.523736953735352,6.7582268714904785,7.324941158294678,7.5581440925598145,8.02575397491455,8.215299606323242,8.172289848327637,8.586504936218262,8.534088134765625,8.587540626525879,8.873432159423828,9.096592903137207,9.41476821899414,9.878056526184082,10.692720413208008,10.85306167602539,11.139058113098145,11.478425979614258,11.970403671264648,12.328939437866211,12.297749519348145,13.051441192626953,13.681604385375977,14.0298490524292
