full_country,country_2code,country_3code,2006,2007,2008,2009,2010,2011,2012,2013,2014
Belgium,BE,BEL,67564,72089,66298,63634,65723,66582,73134,76153,79514
Germany,DE,DEU,884707,743655,715722,672774,661578,605706,631763,711955,674732
Denmark,DK,DNK,2680872,2061712,2166300,2435681,2596888,2215391,1575392,2067074,2309358
Estonia,EE,EST,296160,333349,338991,349628,340400,270138,222614,243910,242623
Spain,ES,ESP,1163588,1025846,1203310,1062400,1195609,1136200,899403,1019984,1125042
Finland,FI,FIN,451731,512654,477414,501257,508880,499313,552275,577188,616519
Faroe Islands,FO,FRO,2597422,2422397,2030066,1344244,1569259,1516967,1569562,2134641,2233183
France,FR,FRA,1310819,1299409,1138661,979280,1021874,1190396,1149878,1335134,1324899
Guernsey,GG,GGY,5265,10698,9684,7947,10119,8928,8865,8544,4572
Greenland,GL,GRL,150961,121794,123528,109822,123637,164139,235271,470966,548995
Ireland,IE,IRL,698563,727428,672211,862293,971306,655522,900720,799250,889214
Isle of Man,IM,IMN,3627,11280,8310,11208,24028,20013,19558,19039,13369
Iceland,IS,ISL,5353078,5811717,5194975,4733813,4374469,4603675,5850695,4236749,4356334
Lithuania,LT,LTU,121772,177632,136062,150592,78157,85687,81503,55562,160215
Latvia,LV,LVA,335881,362052,349543,319252,305034,263505,236231,251297,246703
Netherlands,NL,NLD,1145406,1147681,986276,859384,942744,778568,976734,990876,903008
Norway,NO,NOR,7987448,8424718,8608234,9055430,9369447,7797434,7587647,7019769,7751748
Poland,PL,POL,467510,493128,393994,535033,462437,461140,503474,563460,496597
Portugal,PT,PRT,582531,662743,591149,510638,569835,564209,518447,519942,430327
Russia,RU,RUS,3441168,3258151,3164049,3393475,3645490,3421594,3485404,3579782,3682516
Sweden,SE,SWE,967208,871512,854296,752790,770899,652482,547125,632820,622133
United Kingdom,GB,GBR,1868627,1869519,1713462,1768320,1822181,1794666,1891320,1889970,2315921
