COUNTRY,COUNTRY_GRP,AGE_GRP_LIST,SEX,YEAR,VALUE
AUT,,TOTAL,FEMALE,2012,428.82
AUT,,TOTAL,MALE,2012,674.07
AUT,,TOTAL,ALL,2012,538.13
BEL,,TOTAL,ALL,2011,559.48
BEL,,TOTAL,ALL,2000,694.68
BEL,,TOTAL,FEMALE,2011,445.63
BEL,,TOTAL,MALE,2000,911.23
BEL,,TOTAL,FEMALE,2000,534.94
BEL,,TOTAL,MALE,2011,702.85
BIH,,TOTAL,MALE,2011,962.32
BIH,,TOTAL,FEMALE,2011,670.21
BIH,,TOTAL,ALL,2011,802.17
BLR,,TOTAL,FEMALE,2011,760.43
BLR,,TOTAL,ALL,2011,1137.17
BLR,,TOTAL,MALE,2011,1706.33
CYP,,TOTAL,MALE,2012,616.95
CYP,,TOTAL,FEMALE,2011,433.87
CYP,,TOTAL,ALL,2012,514.84
CYP,,TOTAL,ALL,2011,509.61
CYP,,TOTAL,FEMALE,2012,425.14
CYP,,TOTAL,MALE,2011,595.41
FIN,,TOTAL,FEMALE,2012,421.8
FIN,,TOTAL,ALL,2012,551.01
FIN,,TOTAL,MALE,2012,712.12
FRA,,TOTAL,FEMALE,2011,356.73
FRA,,TOTAL,ALL,2011,484.55
FRA,,TOTAL,MALE,2011,645.18
GEO,,TOTAL,MALE,2012,1141.2
GEO,,TOTAL,ALL,2012,850.37
GEO,,TOTAL,MALE,2011,1170.81
GEO,,TOTAL,ALL,2011,872.56
GEO,,TOTAL,FEMALE,2011,650.88
GEO,,TOTAL,FEMALE,2012,632.22
GRC,,TOTAL,FEMALE,2012,433.44
GRC,,TOTAL,ALL,2012,553.13
GRC,,TOTAL,MALE,2012,689.16
ISR,,TOTAL,FEMALE,2012,413.14
ISR,,TOTAL,MALE,2012,579.89
ISR,,TOTAL,ALL,2012,489.23
ITA,,TOTAL,MALE,2011,613.13
ITA,,TOTAL,ALL,2011,481.92
ITA,,TOTAL,FEMALE,2011,381.4
KAZ,,TOTAL,ALL,2012,1197.28
KAZ,,TOTAL,MALE,2012,1614.25
KAZ,,TOTAL,FEMALE,2012,899.1
KGZ,,TOTAL,FEMALE,2011,926.68
KGZ,,TOTAL,MALE,2011,1496.61
KGZ,,TOTAL,MALE,2012,1479.71
KGZ,,TOTAL,ALL,2011,1181.69
KGZ,,TOTAL,FEMALE,2012,909.74
KGZ,,TOTAL,ALL,2012,1162.65
LTU,,TOTAL,ALL,2002,1034.2
LTU,,TOTAL,FEMALE,2012,604.26
LTU,,TOTAL,MALE,2005,1556.07
LTU,,TOTAL,ALL,2006,1081.18
LTU,,TOTAL,FEMALE,2003,703.29
LTU,,TOTAL,ALL,2007,1089.41
LTU,,TOTAL,ALL,2004,1015.24
LTU,,TOTAL,MALE,2007,1615.37
LTU,,TOTAL,FEMALE,2006,731.65
LTU,,TOTAL,ALL,2005,1067.92
LTU,,TOTAL,FEMALE,2005,722.18
LTU,,TOTAL,MALE,2008,1498.09
LTU,,TOTAL,MALE,2003,1479.1
LTU,,TOTAL,MALE,2011,1339.62
LTU,,TOTAL,FEMALE,2010,641.49
LTU,,TOTAL,ALL,2012,893.1
LTU,,TOTAL,MALE,2004,1462.51
LTU,,TOTAL,FEMALE,2002,721.73
LTU,,TOTAL,MALE,2001,1486.84
LTU,,TOTAL,FEMALE,2004,701.6
LTU,,TOTAL,FEMALE,2007,718.43
LTU,,TOTAL,ALL,2008,1027.8
LTU,,TOTAL,MALE,2006,1571.96
LTU,,TOTAL,ALL,2001,1035.26
LTU,,TOTAL,FEMALE,2009,648.18
LTU,,TOTAL,ALL,2009,957.86
LUX,,TOTAL,FEMALE,2012,406.43
LUX,,TOTAL,ALL,2012,495.92
LUX,,TOTAL,MALE,2012,601.26
LVA,,TOTAL,ALL,2001,1169.09
LVA,,TOTAL,FEMALE,2009,699.9
LVA,,TOTAL,ALL,2010,973.58
LVA,,TOTAL,ALL,2009,982.4
LVA,,TOTAL,MALE,2002,1658.94
LVA,,TOTAL,ALL,2002,1149.81
LVA,,TOTAL,MALE,2010,1415.68
LVA,,TOTAL,ALL,2004,1117.99
LVA,,TOTAL,FEMALE,2003,828.64
