COUNTRY,COUNTRY_GRP,AGE_GRP_4,SEX,YEAR,VALUE
ALB,,GTE65,FEMALE,1987,881.8
ALB,,GTE65,FEMALE,1988,935.93
ALB,,GTE65,FEMALE,1989,947.95
ALB,,GTE65,FEMALE,1992,785.2
ALB,,GTE65,FEMALE,1993,755.58
ALB,,GTE65,FEMALE,1994,643.67
ALB,,GTE65,FEMALE,1995,913.91
ALB,,GTE65,FEMALE,1996,1089.52
ALB,,GTE65,FEMALE,1997,951.6
ALB,,GTE65,FEMALE,1998,1168.36
ALB,,GTE65,FEMALE,1999,1128.17
ALB,,GTE65,FEMALE,2000,1275.64
ALB,,GTE65,FEMALE,2001,941.56
ALB,,GTE65,FEMALE,2002,1085.93
ALB,,GTE65,FEMALE,2003,1196.05
ALB,,GTE65,FEMALE,2004,1142.88
ALB,,GTE65,FEMALE,2005,1041.44
ALB,,GTE65,FEMALE,2006,1018.85
ALB,,GTE65,FEMALE,2007,926.76
ALB,,GTE65,FEMALE,2008,979.92
ALB,,GTE65,FEMALE,2009,1102.34
ARM,,GTE65,FEMALE,1981,809.18
ARM,,GTE65,FEMALE,1982,963.22
ARM,,GTE65,FEMALE,1985,1074.3
ARM,,GTE65,FEMALE,1986,1051.98
ARM,,GTE65,FEMALE,1987,1089.8
ARM,,GTE65,FEMALE,1988,1092.93
ARM,,GTE65,FEMALE,1989,1225.79
ARM,,GTE65,FEMALE,1990,1154.03
ARM,,GTE65,FEMALE,1991,1107.93
ARM,,GTE65,FEMALE,1992,1123.66
ARM,,GTE65,FEMALE,1993,1296.11
ARM,,GTE65,FEMALE,1994,1089.24
ARM,,GTE65,FEMALE,1995,1070.7
ARM,,GTE65,FEMALE,1996,1093.7
ARM,,GTE65,FEMALE,1997,999.1
ARM,,GTE65,FEMALE,1998,880.72
ARM,,GTE65,FEMALE,1999,979.03
ARM,,GTE65,FEMALE,2000,936.08
ARM,,GTE65,FEMALE,2001,1004.62
ARM,,GTE65,FEMALE,2002,1433.71
ARM,,GTE65,FEMALE,2003,1337.95
ARM,,GTE65,FEMALE,2008,970.05
ARM,,GTE65,FEMALE,2012,659.84
ARM,,GTE65,FEMALE,2013,594.38
ARM,,GTE65,FEMALE,2014,623.48
ARM,,GTE65,FEMALE,2015,564.59
ARM,,GTE65,FEMALE,2016,553.08
AUT,,GTE65,FEMALE,1969,1314.2
AUT,,GTE65,FEMALE,1970,1299.23
AUT,,GTE65,FEMALE,1971,1314.32
AUT,,GTE65,FEMALE,1972,1268.56
AUT,,GTE65,FEMALE,1973,1219.31
AUT,,GTE65,FEMALE,1974,1184.51
AUT,,GTE65,FEMALE,1975,1203.48
AUT,,GTE65,FEMALE,1976,1223.64
AUT,,GTE65,FEMALE,1977,1142.97
AUT,,GTE65,FEMALE,1978,1152.33
AUT,,GTE65,FEMALE,1979,1077.57
AUT,,GTE65,FEMALE,1980,1122.01
AUT,,GTE65,FEMALE,1981,1115.34
AUT,,GTE65,FEMALE,1982,1069.48
AUT,,GTE65,FEMALE,1983,1106.34
AUT,,GTE65,FEMALE,1984,1029.53
AUT,,GTE65,FEMALE,1985,1035.28
AUT,,GTE65,FEMALE,1986,1021.14
AUT,,GTE65,FEMALE,1987,955.89
AUT,,GTE65,FEMALE,1988,847.96
AUT,,GTE65,FEMALE,1989,786.28
AUT,,GTE65,FEMALE,1990,741.77
AUT,,GTE65,FEMALE,1991,757.94
AUT,,GTE65,FEMALE,1992,682.27
AUT,,GTE65,FEMALE,1993,649.47
AUT,,GTE65,FEMALE,1994,633.11
AUT,,GTE65,FEMALE,1995,607.78
AUT,,GTE65,FEMALE,1996,629.51
AUT,,GTE65,FEMALE,1997,603.3
AUT,,GTE65,FEMALE,1998,573.32
AUT,,GTE65,FEMALE,1999,553.42
AUT,,GTE65,FEMALE,2000,522.72
AUT,,GTE65,FEMALE,2001,469.62
AUT,,GTE65,FEMALE,2002,464.3
AUT,,GTE65,FEMALE,2003,436
AUT,,GTE65,FEMALE,2004,317.02
AUT,,GTE65,FEMALE,2005,298.61
AUT,,GTE65,FEMALE,2006,293.14
AUT,,GTE65,FEMALE,2007,271.03
AUT,,GTE65,FEMALE,2008,256.7
AUT,,GTE65,FEMALE,2009,243.79
AUT,,GTE65,FEMALE,2010,242.45
AUT,,GTE65,FEMALE,2011,220.3
AUT,,GTE65,FEMALE,2012,230.43
AUT,,GTE65,FEMALE,2013,223.94
AUT,,GTE65,FEMALE,2014,210.12
AUT,,GTE65,FEMALE,2015,217.92
AUT,,GTE65,FEMALE,2016,187.71
AUT,,GTE65,FEMALE,2017,196.54
AZE,,GTE65,FEMALE,1981,1140.11
AZE,,GTE65,FEMALE,1982,1096.88
AZE,,GTE65,FEMALE,1985,1214.01
AZE,,GTE65,FEMALE,1986,1170.08
AZE,,GTE65,FEMALE,1987,1160.45
AZE,,GTE65,FEMALE,1988,1141.22
AZE,,GTE65,FEMALE,1989,856.88
AZE,,GTE65,FEMALE,1990,741.62
AZE,,GTE65,FEMALE,1991,718.72
AZE,,GTE65,FEMALE,1992,829.91
AZE,,GTE65,FEMALE,1993,875.42
AZE,,GTE65,FEMALE,1994,738.91
AZE,,GTE65,FEMALE,1995,827.96
AZE,,GTE65,FEMALE,1996,823.77
AZE,,GTE65,FEMALE,1997,804.22
AZE,,GTE65,FEMALE,1998,793.7
AZE,,GTE65,FEMALE,1999,836.15
AZE,,GTE65,FEMALE,2000,947.64
AZE,,GTE65,FEMALE,2001,825.55
AZE,,GTE65,FEMALE,2002,840.85
AZE,,GTE65,FEMALE,2003,1059.98
AZE,,GTE65,FEMALE,2004,1187.57
AZE,,GTE65,FEMALE,2007,1370.27
BEL,,GTE65,FEMALE,1968,1142.1
BEL,,GTE65,FEMALE,1969,1139.16
BEL,,GTE65,FEMALE,1970,1112.29
BEL,,GTE65,FEMALE,1971,1103.54
BEL,,GTE65,FEMALE,1972,1071.55
BEL,,GTE65,FEMALE,1973,1018.03
BEL,,GTE65,FEMALE,1974,1035.27
BEL,,GTE65,FEMALE,1975,1015.93
BEL,,GTE65,FEMALE,1976,973.35
BEL,,GTE65,FEMALE,1977,858.42
BEL,,GTE65,FEMALE,1978,911.58
BEL,,GTE65,FEMALE,1979,768.74
BEL,,GTE65,FEMALE,1980,736.97
