COUNTRY,COUNTRY_GRP,AGE_GRP_4,SEX,YEAR,VALUE
ALB,,GTE65,FEMALE,1987,27.23
ALB,,GTE65,FEMALE,1988,21.26
ALB,,GTE65,FEMALE,1989,19.59
ALB,,GTE65,FEMALE,1992,24.38
ALB,,GTE65,FEMALE,1993,18.87
ALB,,GTE65,FEMALE,1994,16.8
ALB,,GTE65,FEMALE,1995,24.24
ALB,,GTE65,FEMALE,1996,22.41
ALB,,GTE65,FEMALE,1997,25.01
ALB,,GTE65,FEMALE,1998,18.91
ALB,,GTE65,FEMALE,1999,22.6
ALB,,GTE65,FEMALE,2000,40.49
ALB,,GTE65,FEMALE,2001,36.68
ALB,,GTE65,FEMALE,2002,50.75
ALB,,GTE65,FEMALE,2003,50.02
ALB,,GTE65,FEMALE,2004,48.54
ALB,,GTE65,FEMALE,2005,45.75
ALB,,GTE65,FEMALE,2006,38.67
ALB,,GTE65,FEMALE,2007,20.6
ALB,,GTE65,FEMALE,2008,10.02
ALB,,GTE65,FEMALE,2009,3.71
ARM,,GTE65,FEMALE,1981,50.91
ARM,,GTE65,FEMALE,1982,52.05
ARM,,GTE65,FEMALE,1985,74.63
ARM,,GTE65,FEMALE,1986,79.28
ARM,,GTE65,FEMALE,1987,73.99
ARM,,GTE65,FEMALE,1988,135.48
ARM,,GTE65,FEMALE,1989,148.96
ARM,,GTE65,FEMALE,1990,139.26
ARM,,GTE65,FEMALE,1991,158.21
ARM,,GTE65,FEMALE,1992,170.53
ARM,,GTE65,FEMALE,1993,194.22
ARM,,GTE65,FEMALE,1994,160.57
ARM,,GTE65,FEMALE,1995,227.66
ARM,,GTE65,FEMALE,1996,259.19
ARM,,GTE65,FEMALE,1997,297.05
ARM,,GTE65,FEMALE,1998,294.16
ARM,,GTE65,FEMALE,1999,283.73
ARM,,GTE65,FEMALE,2000,294.32
ARM,,GTE65,FEMALE,2001,304.75
ARM,,GTE65,FEMALE,2002,408.39
ARM,,GTE65,FEMALE,2003,464.47
ARM,,GTE65,FEMALE,2008,328.49
ARM,,GTE65,FEMALE,2012,310.82
ARM,,GTE65,FEMALE,2013,296.66
ARM,,GTE65,FEMALE,2014,274.23
ARM,,GTE65,FEMALE,2015,298.29
ARM,,GTE65,FEMALE,2016,261.98
