COUNTRY,COUNTRY_GRP,YEAR,VALUE
KGZ,,1995,129.43
UKR,,2012,83.43
TKM,,2009,32.87
HRV,,2009,54.33
KGZ,,2006,92.2
,EU_AFTER_MAY2004,2001,69.23
,SEEHN,1999,57.94
UKR,,1994,143.33
SWE,,2001,40.63
NOR,,2004,46.3
,SEEHN,1997,65.48
POL,,2009,57.62
GRC,,1983,48.71
AUT,,1990,64.05
FIN,,1977,87.48
,SEEHN,1998,61.82
HRV,,2012,51.97
CYP,,2013,28.49
ITA,,1976,53.41
BEL,,2007,48.71
CZE,,2004,60.73
AZE,,1995,52.77
IRL,,1982,50.75
MLT,,1982,30.15
RUS,,2003,218.85
ESP,,1991,44.41
,SEEHN,1987,65.55
HUN,,2007,62.51
LVA,,1995,204.1
DNK,,1983,68.47
LVA,,2005,134.79
FIN,,2011,57.3
AUT,,2010,37.43
DEU,,2002,34.08
PRT,,1980,75.11
SWE,,1979,67.62
UZB,,2000,52.85
UKR,,1991,117.49
,WHO_EURO,1998,77.94
,EU_AFTER_MAY2004,2014,47.83
BEL,,1997,54.26
CHE,,1995,46.02
BEL,,1991,57.62
CHE,,1993,57.46
SRB,,2011,37.57
SWE,,1975,70.61
UZB,,2005,48.66
CHE,,1977,71.6
LVA,,1989,129.16
ARM,,1990,65.57
ITA,,1973,58.06
,WHO_EURO,1988,69.34
,EU_MEMBERS,2008,38.38
RUS,,2008,157.51
GBR,,1997,28.49
UZB,,1998,53.45
GBR,,1980,41.08
,WHO_EURO,2000,80.6
UKR,,1986,81.89
KAZ,,1995,159.88
ISL,,1981,56.8
TKM,,2004,48.09
CHE,,2005,36.19
TJK,,1992,77.93
,NORDIC,1984,62.01
FIN,,1975,90.91
AUT,,1981,84.08
ITA,,2015,22.59
TJK,,2004,34.97
TKM,,1993,70.73
DNK,,2002,39.13
BIH,,1989,51.49
FRA,,1995,62.95
POL,,1994,78.34
CZE,,2001,60.48
,WHO_EURO,1991,76.91
PRT,,2011,29.16
,WHO_EURO,1989,72.47
LTU,,1986,100.86
LUX,,1977,76.43
ITA,,1989,42.86
PRT,,1977,71.26
MLT,,1999,28.22
,EU_MEMBERS,2015,32.91
PRT,,1985,72.41
ISR,,1976,55.93
CYP,,2012,26.82
ESP,,1989,47.63
CZE,,2002,60.48
ALB,,2008,34.87
SVN,,2008,59.86
GBR,,2002,28.37
MLT,,1971,27.87
NLD,,1978,47.53
UKR,,1996,155.29
CHE,,1987,67.92
SRB,,1999,55.11
,WHO_EURO,1985,73.33
GBR,,1971,46.18
,EU_AFTER_MAY2004,1998,76.34
EST,,1994,238.33
SWE,,2012,35.23
SWE,,1989,51.85
GBR,,1979,43.51
NLD,,1974,55.29
,NORDIC,1980,67.88
,SEEHN,1993,65.48
ISL,,1990,51.4
ISL,,2014,32.29
LUX,,2008,37.8
MNE,,2006,46.66
ISR,,1999,37.35
BGR,,2003,46.25
ISL,,1991,48.29
LUX,,1994,59.82
NLD,,1982,40.87
SWE,,1993,43.13
,WHO_EURO,1986,66.56
ARM,,2014,39.54
NOR,,2011,40.34
FRA,,2009,44.09
