COUNTRY,COUNTRY_GRP,AGE_GRP_4,SEX,YEAR,VALUE
BEL,,GTE65,MALE,2002,889.76
KGZ,,GTE65,ALL,2013,407.94
KGZ,,GTE65,MALE,2013,573.92
KGZ,,GTE65,FEMALE,2013,303.82
AUT,,GTE65,ALL,2012,194.96
AUT,,GTE65,MALE,2012,282.4
AUT,,GTE65,FEMALE,2012,141.08
BEL,,GTE65,MALE,2000,920.45
BEL,,GTE65,MALE,2011,574.98
BEL,,GTE65,ALL,2000,574.13
BEL,,GTE65,FEMALE,2000,379.75
BIH,,GTE65,ALL,2011,199.55
BIH,,GTE65,MALE,2011,258.98
BIH,,GTE65,FEMALE,2011,157.86
BLR,,GTE65,MALE,2011,263.69
BLR,,GTE65,ALL,2011,107.3
BLR,,GTE65,FEMALE,2011,34.65
CYP,,GTE65,FEMALE,2011,214.67
CYP,,GTE65,MALE,2012,396.85
CYP,,GTE65,ALL,2011,284.7
CYP,,GTE65,MALE,2011,377.91
DNK,,GTE65,ALL,2012,467.96
DNK,,GTE65,MALE,2012,545
DNK,,GTE65,FEMALE,2012,424.88
FIN,,GTE65,ALL,2012,154.17
FIN,,GTE65,FEMALE,2012,95.03
FIN,,GTE65,MALE,2012,252.63
GEO,,GTE65,MALE,2012,154.98
GEO,,GTE65,FEMALE,2012,69.47
GEO,,GTE65,FEMALE,2011,87.11
GEO,,GTE65,MALE,2011,178.47
GEO,,GTE65,ALL,2012,101.03
GEO,,GTE65,ALL,2011,121.61
GRC,,GTE65,ALL,2012,379.31
GRC,,GTE65,FEMALE,2012,319.16
GRC,,GTE65,MALE,2012,460.13
ISR,,GTE65,MALE,2012,360.46
ISR,,GTE65,ALL,2012,292.05
ISR,,GTE65,FEMALE,2012,241.68
ITA,,GTE65,MALE,2011,354.71
KAZ,,GTE65,MALE,2012,744.68
KAZ,,GTE65,FEMALE,2012,281.52
KAZ,,GTE65,ALL,2012,447.64
KGZ,,GTE65,FEMALE,2012,363.43
KGZ,,GTE65,FEMALE,2011,415.22
KGZ,,GTE65,MALE,2011,788.94
KGZ,,GTE65,ALL,2012,512.54
KGZ,,GTE65,MALE,2012,744.86
KGZ,,GTE65,ALL,2011,561.67
LTU,,GTE65,ALL,2001,217.05
LTU,,GTE65,ALL,2006,200.72
LTU,,GTE65,MALE,2005,440.76
LTU,,GTE65,FEMALE,2010,72.83
LTU,,GTE65,FEMALE,2002,125.99
LTU,,GTE65,ALL,2012,151.17
LTU,,GTE65,FEMALE,2001,104.68
LTU,,GTE65,MALE,2007,498.9
LTU,,GTE65,ALL,2004,216.76
LTU,,GTE65,MALE,2004,453.77
LTU,,GTE65,FEMALE,2007,104.56
LTU,,GTE65,ALL,2003,227.49
LTU,,GTE65,MALE,2010,343.23
LTU,,GTE65,MALE,2009,403.71
LTU,,GTE65,FEMALE,2009,91.47
LTU,,GTE65,FEMALE,2012,71.29
LTU,,GTE65,FEMALE,2003,110.86
LTU,,GTE65,ALL,2002,231.11
LTU,,GTE65,FEMALE,2008,97.24
LTU,,GTE65,FEMALE,2006,96.15
