COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ALB,,ALL,1950,6.9
ALB,,ALL,1955,6.1
ALB,,ALL,1960,5.4
ALB,,ALL,1965,5.5
ALB,,ALL,1970,5.2
ALB,,ALL,1971,4.4634724
ALB,,ALL,1972,4.48251376
ALB,,ALL,1973,4.50060585
ALB,,ALL,1974,4.51781794
ALB,,ALL,1975,5.2
ALB,,ALL,1976,4.58383595
ALB,,ALL,1977,4.6310832
ALB,,ALL,1978,4.67612112
ALB,,ALL,1979,4.71910112
ALB,,ALL,1980,5.3
ALB,,ALL,1981,4.91688988
ALB,,ALL,1982,4.95921228
ALB,,ALL,1983,4.99771231
ALB,,ALL,1984,5.03326783
ALB,,ALL,1985,5.4
ALB,,ALL,1986,5.29818917
ALB,,ALL,1987,5.29849485
ALB,,ALL,1988,5.29849272
ALB,,ALL,1989,5.29895988
ALB,,ALL,1990,5.5
ALB,,ALL,1991,5.50132615
ALB,,ALL,1992,5.74451671
ALB,,ALL,1993,5.92717613
ALB,,ALL,1994,6.02783046
ALB,,ALL,1995,6.4
ALB,,ALL,1996,6.12339324
ALB,,ALL,1997,6.13070294
ALB,,ALL,1998,6.14063985
ALB,,ALL,1999,6.1393027
ALB,,ALL,2000,7.1
ALB,,ALL,2001,7.53803423
ALB,,ALL,2002,7.66687742
ALB,,ALL,2003,7.86982187
ALB,,ALL,2004,8.21350811
ALB,,ALL,2005,8.5
ALB,,ALL,2006,9.33020022
ALB,,ALL,2007,9.7485506
ALB,,ALL,2008,10.20520337
ALB,,ALL,2009,10.58092817
ALB,,ALL,2010,10.7
ALB,,ALL,2011,11.15215451
ALB,,ALL,2012,11.43286465
ALB,,ALL,2013,11.78117518
ALB,,ALL,2014,12.19686757
ALB,,ALL,2015,12.5
ARM,,ALL,1950,8.3
ARM,,ALL,1955,7.9
ARM,,ALL,1960,6.3
ARM,,ALL,1965,5.4
ARM,,ALL,1970,5.6
ARM,,ALL,1975,5.8
ARM,,ALL,1980,6
ARM,,ALL,1981,5.87438915
ARM,,ALL,1982,5.75955958
ARM,,ALL,1983,5.56568196
ARM,,ALL,1984,5.52117913
ARM,,ALL,1985,5.4
ARM,,ALL,1986,5.30031983
ARM,,ALL,1987,5.2286036
ARM,,ALL,1988,5.16855969
ARM,,ALL,1989,5.30215958
ARM,,ALL,1990,5.6
ARM,,ALL,1991,6.00531591
ARM,,ALL,1992,6.43857174
ARM,,ALL,1993,6.71141075
ARM,,ALL,1994,7.11117427
ARM,,ALL,1995,8.4
ARM,,ALL,1996,7.91128146
ARM,,ALL,1997,8.11959835
ARM,,ALL,1998,8.48128066
ARM,,ALL,1999,8.73831526
ARM,,ALL,2000,10
ARM,,ALL,2001,9.6870848
ARM,,ALL,2002,9.56802593
ARM,,ALL,2003,10.07605409
ARM,,ALL,2004,10.36583355
ARM,,ALL,2005,11.9
ARM,,ALL,2006,10.76689599
ARM,,ALL,2008,10.60261946
ARM,,ALL,2009,10.25039391
ARM,,ALL,2010,11
ARM,,ALL,2012,10.52495481
ARM,,ALL,2013,10.59315766
ARM,,ALL,2014,10.68212336
ARM,,ALL,2015,10.9
AUT,,ALL,1950,10.4
AUT,,ALL,1955,11.4
AUT,,ALL,1960,12.2
AUT,,ALL,1965,13.1
AUT,,ALL,1970,14
AUT,,ALL,1971,14.23743361
AUT,,ALL,1972,14.47546361
AUT,,ALL,1973,14.66559658
AUT,,ALL,1974,14.75999575
AUT,,ALL,1975,14.7
AUT,,ALL,1976,15.12311993
AUT,,ALL,1977,15.26408896
AUT,,ALL,1978,15.41873102
AUT,,ALL,1979,15.51717244
AUT,,ALL,1980,15.2
AUT,,ALL,1981,15.11091733
