COUNTRY,YEAR,death_all,death_external,death_internal,death_diabetes_65,death_cerebrovascular_65,death_respiratory_65,elderly_rate,life_expectancy,hospital_beds,gni
AUT,2012.0,538.13,37.26,500.87,143.48,247.52,194.96,17.94689277,81.19,767.73,50060.0
BEL,2011.0,559.48,47.15,512.33,58.19,255.77,388.89,17.11884347,80.66,637.58,46400.0
BEL,2000.0,694.68,56.75,637.93,71.18,412.05,574.13,16.9,77.96,776.87,25860.0
BIH,2011.0,802.17,28.08,774.0899999999999,290.05,799.88,199.55,15.09243992,76.66,346.14,5010.0
BLR,2011.0,1137.17,130.38,1006.7900000000001,10.46,816.94,107.3,13.74633544,70.77,1125.12,6330.0
CYP,2012.0,514.84,26.82,488.02000000000004,266.51,300.24,324.46,13.21720671,81.77,346.09,28940.0
CYP,2011.0,509.61,25.99,483.62,289.19,320.8,284.7,12.81126173,81.92,351.96,31480.0
FIN,2012.0,551.01,53.45,497.56,32.35,336.39,154.17,18.45080072,80.83,529.83,48940.0
FRA,2011.0,484.55,42.16,442.39,65.68,184.11,198.65,17.117586399999997,82.41,655.13,44350.0
GEO,2012.0,850.37,34.78,815.59,127.65,611.69,101.03,13.76622798,74.55,252.7,4160.0
GEO,2011.0,872.56,28.32,844.2399999999999,112.72,661.77,121.61,13.746264000000002,74.56,281.01,3520.0
GRC,2012.0,553.13,26.11,527.02,38.22,523.23,379.31,19.91068427,80.82,442.63,23500.0
ISR,2012.0,489.23,22.51,466.72,204.63,221.77,292.05,10.29246311,82.27,310.09,32220.0
ITA,2011.0,481.92,25.12,456.8,123.18,339.51,229.84,20.665497100000003,82.41,351.73,37900.0
KAZ,2012.0,1197.28,104.25,1093.03,55.68,708.82,447.64,6.59114281,69.74,700.68,9940.0
KGZ,2011.0,1181.69,78.73,1102.96,50.4,1316.7,561.67,4.3393232,69.86,469.76,880.0
KGZ,2012.0,1162.65,75.37,1087.2800000000002,47.7,1231.73,512.54,4.286803900000001,70.25,463.86,1040.0
LTU,2002.0,1034.2,150.44,883.76,39.24,926.59,231.11,14.70482567,71.86,810.09,3830.0
LTU,2006.0,1081.18,154.57,926.6100000000001,36.78,916.62,200.72,16.46856227,71.02,714.97,8820.0
LTU,2007.0,1089.41,152.48,936.9300000000001,35.72,855.36,231.48,16.82001081,70.78,719.0,10620.0
LTU,2004.0,1015.24,144.86,870.38,39.31,868.04,216.76,15.62396453,72.05,756.6,6040.0
LTU,2005.0,1067.92,159.85,908.07,42.79,881.79,213.13,16.0,71.27,728.36,7600.0
LTU,2012.0,893.1,109.15,783.95,42.89,784.03,151.17,18.16620607,74.16,743.23,14070.0
LTU,2008.0,1027.8,139.97,887.8299999999999,35.45,891.27,198.78,17.098295899999997,71.82,717.83,12660.0
LTU,2001.0,1035.26,157.53,877.73,33.68,887.9,217.05,14.19074697,71.71,833.32,3460.0
LTU,2009.0,957.86,121.53,836.33,36.69,854.8,190.81,17.27273187,73.01,718.29,12430.0
LUX,2012.0,495.92,36.38,459.54,50.16,260.41,280.24,13.96769254,82.18,515.29,75450.0
LVA,2001.0,1169.09,151.9,1017.1899999999999,58.7,1675.29,115.48,15.25468836,69.95,827.88,3590.0
LVA,2010.0,973.58,90.42,883.1600000000001,107.26,996.39,104.31,18.2,73.16,568.28,12580.0
LVA,2009.0,982.4,91.34,891.06,103.44,1001.92,87.78,17.96841622,72.81,673.96,14040.0
LVA,2002.0,1149.81,151.83,997.9799999999999,47.65,1623.95,134.03,15.62913254,70.25,786.69,3920.0
LVA,2004.0,1117.99,132.34,985.65,44.92,1432.85,131.26,16.43941423,70.98,791.43,5810.0
LVA,2005.0,1138.61,134.79,1003.8199999999999,45.47,1425.94,128.97,16.9,70.72,790.42,7350.0
LVA,2000.0,1134.72,153.03,981.69,42.79,1585.34,130.19,15.0,70.51,877.4,3310.0
LVA,2008.0,1033.65,102.75,930.9000000000001,75.2,1089.63,109.56,17.70858881,72.13,776.5,13440.0
LVA,2007.0,1122.81,118.71,1004.0999999999999,69.95,1176.71,124.52,17.49496097,70.85,783.2,11160.0
LVA,2006.0,1143.03,135.37,1007.66,49.94,1301.35,125.85,17.19646567,70.6,784.68,8880.0
LVA,2003.0,1137.45,138.65,998.8000000000001,47.65,1600.54,122.18,16.03912664,70.73,795.43,4660.0
MNE,2001.0,948.01,48.28,899.73,88.62,820.09,320.88,11.73550783,73.85,425.32,
MNE,2003.0,974.63,37.79,936.84,135.91,868.04,308.26,11.91012432,73.82,422.39,2440.0
MNE,2002.0,955.07,38.29,916.7800000000001,114.76,872.33,276.75,11.73550783,74.08,419.67,1970.0
MNE,2005.0,955.75,36.25,919.5,117.4,856.72,246.11,13.1,74.14,418.43,3660.0
MNE,2009.0,846.14,35.19,810.95,81.37,552.92,259.46,12.94431355,75.63,385.88,6740.0
MNE,2008.0,859.72,35.53,824.19,84.56,656.17,257.42,12.93930551,75.5,385.18,6470.0
MNE,2000.0,950.65,40.23,910.42,137.15,830.05,259.66,11.6,74.15,422.41,
MNE,2007.0,929.03,35.77,893.26,92.91,736.37,245.65,12.88780225,74.68,397.8,5120.0
MNE,2004.0,959.12,34.32,924.8,115.77,857.4,248.41,12.25378465,74.25,421.46,3100.0
MNE,2006.0,950.07,46.66,903.4100000000001,117.84,824.08,266.59,12.79217482,74.12,414.26,4320.0
NLD,2012.0,533.51,27.76,505.75,75.52,232.35,406.72,16.53457048,81.33,,52930.0
PRT,1986.0,958.95,70.19,888.76,134.67,1803.69,455.06,12.11198264,73.41,395.39,3080.0
PRT,2012.0,562.31,27.22,535.0899999999999,183.21,494.28,512.32,19.21215379,80.61,340.61,21150.0
PRT,1998.0,794.6,46.59,748.01,176.32,1209.46,509.06,15.71854365,76.02,385.62,12190.0
PRT,1993.0,899.44,56.99,842.45,192.83,1590.58,471.23,14.37202919,74.54,395.5,10100.0
PRT,1999.0,786.38,43.53,742.85,173.11,1167.49,592.48,15.93353148,76.26,374.46,12260.0
PRT,1994.0,824.91,52.86,772.05,178.36,1439.31,424.0,14.64011603,75.52,392.52,10450.0
PRT,1997.0,805.02,49.66,755.36,171.39,1248.0,502.48,15.46066279,75.82,392.92,12370.0
PRT,1988.0,933.93,69.47,864.4599999999999,141.23,1769.0,451.0,12.67400501,73.84,402.3,5630.0
PRT,1987.0,929.57,69.91,859.6600000000001,132.75,1786.22,423.68,12.37761877,73.82,402.27,4160.0
PRT,1992.0,872.16,62.65,809.51,181.04,1560.8,410.35,14.09671787,74.67,400.65,9860.0
PRT,1996.0,841.17,52.9,788.27,161.31,1391.74,482.19,15.19304805,75.34,398.44,12100.0
PRT,1989.0,888.83,65.56,823.27,155.38,1620.07,428.03,13.02462769,74.4,407.01,6320.0
PRT,1991.0,916.3,67.1,849.1999999999999,185.83,1669.13,448.41,13.78023711,74.06,400.54,8180.0
PRT,1990.0,924.61,65.13,859.48,164.89,1688.76,478.96,13.7,74.1,404.51,7130.0
PRT,2007.0,623.89,33.86,590.03,190.04,647.02,473.76,17.63283077,79.3,343.55,20850.0
PRT,2002.0,716.19,48.16,668.0300000000001,212.45,952.28,442.51,16.65918879,77.41,356.65,11750.0
PRT,1995.0,836.99,54.61,782.38,172.74,1427.12,466.23,15.0,75.35,391.87,11210.0
ROU,2011.0,901.32,46.15,855.1700000000001,48.73,1219.12,249.94,14.96184205,74.6,613.32,8620.0
RUS,2011.0,1133.95,126.82,1007.1300000000001,28.69,1357.67,186.14,12.73354531,70.03,857.14,11070.0
ESP,2012.0,477.08,21.54,455.53999999999996,83.97,241.39,391.95,17.49093617,82.56,299.35,29520.0
TUR,2009.0,770.89,19.27,751.62,235.28,505.04,395.81,6.9245884,76.21,239.78,9580.0
TUR,2010.0,730.78,21.23,709.55,241.86,531.73,385.82,7.2,76.99,252.03,10430.0
TUR,2011.0,718.28,20.29,697.99,235.92,509.74,476.15,7.28774059,77.23,253.35,11230.0
TUR,2012.0,593.93,20.35,573.5799999999999,222.68,460.66,453.39,7.43105764,79.88,266.14,11870.0
AUT,2013.0,529.06,35.14,493.91999999999996,134.6,240.8,190.67,18.19048203,81.4,764.7,50700.0
BEL,2002.0,680.65,53.29,627.36,73.66,391.62,564.14,16.97890743,78.32,757.51,24000.0
BEL,2012.0,568.01,47.13,520.88,61.38,250.73,414.45,17.34979743,80.51,629.59,47100.0
BEL,2001.0,674.37,56.57,617.8,68.52,396.4,527.5,16.896458199999998,78.32,765.69,24430.0
KGZ,2013.0,1087.91,65.95,1021.96,63.38,1140.79,407.94,4.26895661,70.97,451.24,1190.0
HRV,2013.0,721.47,47.57,673.9,126.82,744.55,213.61,18.27060201,77.85,585.87,13520.0
CZE,2013.0,691.86,43.46,648.4,172.31,488.54,299.48,17.08978235,78.4,645.89,19270.0
DEU,2013.0,563.89,27.75,536.14,105.59,257.61,288.53,20.77939895,80.71,827.77,47190.0
HUN,2013.0,840.71,48.41,792.3000000000001,111.55,577.33,288.47,17.3529653,75.81,703.73,13480.0
MDA,2013.0,1072.44,77.52,994.9200000000001,59.48,1218.12,244.03,9.99380087,72.0,583.38,2910.0
TUR,2013.0,635.58,28.93,606.6500000000001,213.8,508.76,486.81,7.60020005,78.9,265.64,12510.0
BLR,1996.0,1363.267634,155.7,1207.567634,26.96144592,1044.76244,356.5771486,12.6717202,68.61,1227.46,1450.0
BLR,2004.0,1295.044865,162.18,1132.864865,20.08990229,1111.021141,246.4837872,14.38977266,68.97,1071.31,2180.0
BLR,2005.0,1300.692886,165.62,1135.072886,21.19588502,1156.546432,247.8142499,14.7,68.84,1112.93,2820.0
IRL,2010.0,553.9556531000001,35.15,518.8056531000001,74.53492547,311.8898817,508.1305802,11.2,80.8,278.83,44870.0
PRT,2004.0,663.7123489,44.71,619.0023489,206.5898003,790.446033,405.08027430000004,17.061374899999997,78.44,358.91,16140.0
TJK,2005.0,940.5023205,32.88,907.6223205,96.31693399,672.4407978999999,430.28945369999997,3.9,73.72,586.51,320.0
DNK,2012.0,583.14,28.92,554.22,101.74,270.26,467.96,17.65319482,80.39,,61650.0
PRT,2009.0,600.28,32.9,567.38,188.64,580.79,495.03,18.1142057,79.77,337.19,22920.0
CHE,2000.0,581.66,42.6,539.06,105.95,304.24,311.5,15.3,80.11,628.74,43520.0
CHE,1997.0,613.26,42.35,570.91,118.83,350.25,322.08,14.95577593,79.46,,48030.0
LTU,2010.0,945.79,119.13,826.66,34.41,835.03,156.14,17.3,73.32,716.43,12560.0
LTU,2003.0,1017.74,148.89,868.85,32.53,879.81,227.49,15.17231868,72.13,785.4,4700.0
LTU,2011.0,911.04,109.82,801.22,31.91,804.77,150.72,17.97553924,73.8,743.4,13290.0
PRT,2000.0,746.02,40.72,705.3,157.71,1084.21,527.79,16.3,76.85,370.9,12170.0
PRT,2011.0,555.64,29.16,526.48,174.27,499.86,446.51,18.868337,80.72,337.21,22720.0
PRT,2008.0,613.06,33.68,579.38,179.34,612.02,489.24,17.84716244,79.55,339.1,22590.0
PRT,2003.0,717.62,45.98,671.64,212.9,921.31,454.87,16.84308233,77.55,358.16,13260.0
PRT,2001.0,723.61,43.7,679.91,192.66,1017.3,436.11,16.45587906,77.19,364.86,11830.0
SWE,2012.0,507.73,35.23,472.5,78.21,290.18,255.43,18.97687611,81.9,261.86,58930.0
SWE,2011.0,503.71,34.59,469.12,78.99,301.63,237.56,18.63607054,81.99,270.56,56570.0
FIN,2013.0,535.12,51.56,483.56,28.81,322.36,140.36,19.07290569,81.24,487.22,49480.0
ITA,2012.0,483.17,24.49,458.68,122.4,334.48,239.64,21.00333685,82.39,342.16,36200.0
LUX,2013.0,476.6,37.64,438.96000000000004,69.85,226.53,269.77,14.02679623,82.72,505.37,75500.0
NLD,2013.0,522.53,27.58,494.95,77.62,254.82,335.99,17.0888787,81.58,,52950.0
NOR,2013.0,505.91,38.08,467.83000000000004,57.34,247.73,373.72,15.77873792,81.93,385.81,104330.0
PRT,2013.0,546.91,28.3,518.61,165.99,437.03,448.79,19.61524945,80.97,339.27,21370.0
ESP,2013.0,452.91,22.13,430.78000000000003,76.39,220.07,341.28,17.91146681,83.22,296.51,29210.0
SWE,2013.0,496.56,35.94,460.62,76.94,269.97,247.61,19.27262555,82.11,259.42,61580.0
GBR,2011.0,533.63,26.96,506.67,37.41,276.67,516.22,16.73699139,81.21,289.88,41070.0
CHE,2011.0,455.76,32.34,423.41999999999996,63.7,190.64,200.05,17.02926218,83.0,487.0,79720.0
CHE,2012.0,457.69,31.93,425.76,63.21,184.93,205.03,17.28034287,82.98,480.21,84880.0
CHE,1998.0,600.25,41.6,558.65,117.0,333.19,318.83,15.04549707,79.73,662.71,44940.0
CHE,2008.0,477.8,36.26,441.54,85.32,224.81,206.34,16.47488727,82.45,521.1,63190.0
CHE,2006.0,496.81,37.93,458.88,83.4,236.32,219.21,16.08419902,81.97,539.11,63990.0
CHE,2002.0,546.59,39.83,506.76000000000005,104.67,274.68,261.91,15.620754199999999,80.85,594.5,39700.0
CHE,2004.0,519.96,37.7,482.26000000000005,98.47,251.28,241.82,15.76135247,81.44,566.97,53800.0
CHE,2007.0,490.07,37.65,452.42,82.44,233.99,215.71,16.28968271,82.16,536.01,62830.0
CHE,2009.0,475.64,34.38,441.26,77.85,212.16,227.36,16.68078543,82.49,510.43,70370.0
CHE,2003.0,551.11,38.6,512.51,117.82,288.73,268.78,15.65310924,80.81,582.4,45620.0
CHE,2001.0,561.06,41.47,519.5899999999999,107.36,289.39,249.64,15.37637568,80.51,603.92,40930.0
CHE,2010.0,464.08,32.43,431.65,67.72,203.01,202.59,16.9,82.82,496.52,77570.0
CHE,1999.0,588.88,40.28,548.6,111.68,325.71,325.6,15.16369093,79.98,660.82,43100.0
CHE,2005.0,514.42,36.19,478.22999999999996,86.78,248.98,261.35,15.8,81.57,553.92,61620.0
CHE,1996.0,619.17,43.52,575.65,144.36,356.32,272.41,14.83215023,79.31,,48360.0
CHE,1995.0,640.7,46.02,594.6800000000001,129.85,379.64,279.29,14.7,78.82,,45450.0
AUT,2014.0,511.26,34.69,476.57,143.25,223.87,180.55,18.39897602,81.79,761.01,50370.0
GEO,2013.0,819.86,31.39,788.47,112.71,555.05,107.82,13.90622214,75.36,258.51,4530.0
GEO,2014.0,984.37,46.43,937.94,138.49,790.33,163.63,13.92004293,73.08,289.36,4760.0
IRL,2012.0,548.35,33.36,514.99,76.66,272.06,513.97,11.98122653,80.93,254.98,40620.0
IRL,2011.0,550.8,35.69,515.1099999999999,68.87,287.55,518.61,11.61914783,80.86,262.48,41990.0
ISR,2013.0,472.9,21.61,451.28999999999996,198.86,199.16,267.73,10.53733554,82.67,309.19,34310.0
KAZ,2011.0,1231.62,108.37,1123.25,48.01,857.75,373.86,6.59605883,69.2,710.96,8280.0
MLT,2012.0,544.53,23.13,521.4,36.03,336.15,346.74,16.8023418,80.99,471.27,21650.0
MLT,2013.0,496.35,19.79,476.56,109.42,325.11,401.81,17.51737591,81.97,480.36,22680.0
MLT,2014.0,487.16,19.99,467.17,171.94,311.44,354.88,18.19751486,82.24,477.35,24240.0
CHE,2013.0,452.85,32.06,420.79,65.97,184.56,211.97,17.50058147,83.08,467.73,88740.0
ALB,2008.0,640.56,34.87,605.6899999999999,9.14,1085.8,142.59,10.20520337,78.9,,4030.0
ALB,2007.0,592.04,35.08,556.9599999999999,18.58,957.23,173.0,9.7485506,79.69,309.46,3460.0
ALB,2006.0,705.35,34.82,670.53,39.14,1099.54,190.08,9.33020022,77.67,312.24,3050.0
ALB,2009.0,602.5,31.78,570.72,2.47,1130.96,130.92,10.58092817,79.64,300.77,4280.0
ALB,2005.0,757.11,44.03,713.08,45.42,1139.86,240.05,8.5,76.83,308.29,2620.0
ARM,2014.0,892.06,39.54,852.52,257.6,616.42,452.87,10.68212336,75.18,416.28,4140.0
BEL,2013.0,555.66,44.54,511.11999999999995,56.43,241.86,403.67,17.66933228,80.79,625.67,47880.0
BIH,2014.0,753.34,24.26,729.08,319.4,651.16,200.15,15.81089022,77.54,349.33,5300.0
BLR,2013.0,1012.52,100.18,912.3399999999999,6.31,733.01,73.52,13.857716199999999,72.8,1104.56,7010.0
BLR,2014.0,971.41,92.53,878.88,6.98,717.52,65.09,14.07325402,73.37,1083.29,7600.0
BLR,2010.0,1167.89,138.32,1029.5700000000002,11.99,941.46,136.76,14.0,70.52,1145.0,6210.0
BGR,2013.0,883.86,31.72,852.14,75.25,1206.81,173.14,19.36067082,74.96,681.64,7590.0
HRV,2014.0,713.21,46.18,667.0300000000001,133.4,732.9,222.22,18.61848924,78.0,588.27,13270.0
CYP,2013.0,478.03,28.49,449.53999999999996,272.91,259.16,304.64,13.87015187,82.55,340.86,27220.0
CZE,2014.0,656.0,43.31,612.69,159.04,434.56,269.28,17.60494254,79.02,644.4,18800.0
DEU,2014.0,537.49,27.55,509.94,95.87,236.54,255.5,20.91749082,81.26,826.25,47620.0
EST,2013.0,720.31,67.8,652.51,42.98,370.68,146.81,18.20322808,77.43,500.53,18170.0
EST,2000.0,1076.56,137.53,939.03,40.36,1162.59,146.6,15.0,71.3,703.52,4160.0
EST,2001.0,1087.29,155.97,931.3199999999999,45.56,1137.3,130.52,15.28475667,71.03,659.89,4310.0
EST,2008.0,885.32,92.42,792.9000000000001,70.23,551.9,136.58,17.443478,74.44,563.16,15080.0
EST,2002.0,1065.7,136.31,929.3900000000001,35.89,1133.46,136.26,15.64251278,71.52,597.96,4620.0
EST,2007.0,948.71,109.33,839.38,79.12,665.01,131.49,17.37066265,73.33,548.15,13420.0
EST,2009.0,832.93,87.64,745.29,59.49,482.93,127.44,17.43180107,75.38,536.97,14560.0
EST,2014.0,714.21,66.21,648.0,45.58,281.36,155.39,18.56665234,77.47,500.23,18880.0
