COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ALB,,ALL,1986,700
ALB,,ALL,1987,730
ALB,,ALL,1988,730
ALB,,ALL,1989,760
ALB,,ALL,1990,650
ALB,,ALL,1991,410
ALB,,ALL,1992,280
ALB,,ALL,1993,320
ALB,,ALL,1994,380
ALB,,ALL,1995,640
ALB,,ALL,1996,890
ALB,,ALL,1997,800
ALB,,ALL,1998,860
ALB,,ALL,1999,950
ALB,,ALL,2000,1100
ALB,,ALL,2001,1280
ALB,,ALL,2002,1370
ALB,,ALL,2003,1650
ALB,,ALL,2004,2100
ALB,,ALL,2005,2620
ALB,,ALL,2006,3050
ALB,,ALL,2007,3460
ALB,,ALL,2008,4030
ALB,,ALL,2009,4280
ALB,,ALL,2010,4360
ALB,,ALL,2011,4410
ALB,,ALL,2012,4360
ALB,,ALL,2013,4540
ALB,,ALL,2014,4540
ALB,,ALL,2015,4390
ALB,,ALL,2016,4320
ALB,,ALL,2017,4290
ALB,,ALL,2018,4860
ARM,,ALL,1992,310
ARM,,ALL,1993,330
ARM,,ALL,1994,400
ARM,,ALL,1995,460
ARM,,ALL,1996,520
ARM,,ALL,1997,560
ARM,,ALL,1998,590
ARM,,ALL,1999,610
ARM,,ALL,2000,660
ARM,,ALL,2001,710
ARM,,ALL,2002,800
ARM,,ALL,2003,960
ARM,,ALL,2004,1170
ARM,,ALL,2005,1540
ARM,,ALL,2006,2020
ARM,,ALL,2007,2760
ARM,,ALL,2008,3600
ARM,,ALL,2009,3330
ARM,,ALL,2010,3470
ARM,,ALL,2011,3530
ARM,,ALL,2012,3880
ARM,,ALL,2013,4110
ARM,,ALL,2014,4140
ARM,,ALL,2015,4010
ARM,,ALL,2016,3760
ARM,,ALL,2017,3950
ARM,,ALL,2018,4230
AUT,,ALL,1970,2070
AUT,,ALL,1971,2320
AUT,,ALL,1972,2760
AUT,,ALL,1973,3580
AUT,,ALL,1974,4650
AUT,,ALL,1975,5540
AUT,,ALL,1976,5980
AUT,,ALL,1977,6660
AUT,,ALL,1978,7540
AUT,,ALL,1979,9620
AUT,,ALL,1980,11460
AUT,,ALL,1981,11180
AUT,,ALL,1982,10380
AUT,,ALL,1983,9600
AUT,,ALL,1984,9270
AUT,,ALL,1985,9360
AUT,,ALL,1986,10820
AUT,,ALL,1987,13810
AUT,,ALL,1988,18070
AUT,,ALL,1989,19300
AUT,,ALL,1990,20630
AUT,,ALL,1991,21810
AUT,,ALL,1992,24520
AUT,,ALL,1993,24870
AUT,,ALL,1994,26140
AUT,,ALL,1995,28190
AUT,,ALL,1996,30090
AUT,,ALL,1997,29560
AUT,,ALL,1998,27970
AUT,,ALL,1999,27080
AUT,,ALL,2000,26790
AUT,,ALL,2001,25290
AUT,,ALL,2002,24970
AUT,,ALL,2003,28020
AUT,,ALL,2004,33750
AUT,,ALL,2005,38720
AUT,,ALL,2006,41460
AUT,,ALL,2007,44510
AUT,,ALL,2008,49110
AUT,,ALL,2009,49000
AUT,,ALL,2010,49610
AUT,,ALL,2011,50590
AUT,,ALL,2012,50060
AUT,,ALL,2013,50700
AUT,,ALL,2014,50370
AUT,,ALL,2015,47450
AUT,,ALL,2016,46220
AUT,,ALL,2017,45120
AUT,,ALL,2018,49310
AZE,,ALL,1993,590
AZE,,ALL,1994,440
AZE,,ALL,1995,400
AZE,,ALL,1996,410
AZE,,ALL,1997,450
AZE,,ALL,1998,510
AZE,,ALL,1999,570
AZE,,ALL,2000,610
AZE,,ALL,2001,650
AZE,,ALL,2002,710
AZE,,ALL,2003,810
AZE,,ALL,2004,940
AZE,,ALL,2005,1270
AZE,,ALL,2006,1900
AZE,,ALL,2007,2710
AZE,,ALL,2008,3870
AZE,,ALL,2009,4790
AZE,,ALL,2010,5370
AZE,,ALL,2011,5460
AZE,,ALL,2012,6410
AZE,,ALL,2013,7410
AZE,,ALL,2014,7690
AZE,,ALL,2015,6570
AZE,,ALL,2016,4760
AZE,,ALL,2017,4070
AZE,,ALL,2018,4050
BEL,,ALL,1970,2790
BEL,,ALL,1971,3080
BEL,,ALL,1972,3640
BEL,,ALL,1973,4690
BEL,,ALL,1974,6000
BEL,,ALL,1975,6910
BEL,,ALL,1976,7580
BEL,,ALL,1977,8220
BEL,,ALL,1978,9560
BEL,,ALL,1979,11730
BEL,,ALL,1980,13980
BEL,,ALL,1981,13190
BEL,,ALL,1982,11180
BEL,,ALL,1983,9430
BEL,,ALL,1984,8860
BEL,,ALL,1985,8820
BEL,,ALL,1986,10170
BEL,,ALL,1987,13090
BEL,,ALL,1988,17010
BEL,,ALL,1989,18030
BEL,,ALL,1990,19310
BEL,,ALL,1991,20580
BEL,,ALL,1992,23170
BEL,,ALL,1993,23410
BEL,,ALL,1994,25090
BEL,,ALL,1995,27070
BEL,,ALL,1996,28550
BEL,,ALL,1997,28450
BEL,,ALL,1998,26530
BEL,,ALL,1999,25980
BEL,,ALL,2000,25860
BEL,,ALL,2001,24430
BEL,,ALL,2002,24000
BEL,,ALL,2003,27030
BEL,,ALL,2004,32810
BEL,,ALL,2005,37730
BEL,,ALL,2006,39900
BEL,,ALL,2007,42700
BEL,,ALL,2008,46470
BEL,,ALL,2009,46840
BEL,,ALL,2010,46950
BEL,,ALL,2011,46400
BEL,,ALL,2012,47100
BEL,,ALL,2013,47880
BEL,,ALL,2014,47800
BEL,,ALL,2015,45540
BEL,,ALL,2016,43440
BEL,,ALL,2017,42720
BEL,,ALL,2018,45910
BGR,,ALL,1982,2360
BGR,,ALL,1983,2090
BGR,,ALL,1984,2010
BGR,,ALL,1985,1950
BGR,,ALL,1986,2190
BGR,,ALL,1987,2720
BGR,,ALL,1988,3110
BGR,,ALL,1989,2830
BGR,,ALL,1990,2250
BGR,,ALL,1991,1620
BGR,,ALL,1992,1430
BGR,,ALL,1993,1250
BGR,,ALL,1994,1240
BGR,,ALL,1995,1510
BGR,,ALL,1996,1540
BGR,,ALL,1997,1560
BGR,,ALL,1998,1530
BGR,,ALL,1999,1480
BGR,,ALL,2000,1650
BGR,,ALL,2001,1760
BGR,,ALL,2002,1950
BGR,,ALL,2003,2350
BGR,,ALL,2004,3030
BGR,,ALL,2005,3770
BGR,,ALL,2006,4270
BGR,,ALL,2007,4820
BGR,,ALL,2008,6100
BGR,,ALL,2009,6750
BGR,,ALL,2010,6980
BGR,,ALL,2011,7220
BGR,,ALL,2012,7420
BGR,,ALL,2013,7590
BGR,,ALL,2014,7730
BGR,,ALL,2015,7480
BGR,,ALL,2016,7580
BGR,,ALL,2017,7860
BGR,,ALL,2018,8860
BIH,,ALL,1996,760
BIH,,ALL,1997,1010
BIH,,ALL,1998,1330
BIH,,ALL,1999,1400
BIH,,ALL,2000,1490
BIH,,ALL,2001,1610
BIH,,ALL,2002,1770
BIH,,ALL,2003,2040
BIH,,ALL,2004,2590
BIH,,ALL,2005,3180
BIH,,ALL,2006,3510
BIH,,ALL,2007,3920
BIH,,ALL,2008,4730
BIH,,ALL,2009,4970
BIH,,ALL,2010,4950
BIH,,ALL,2011,5010
BIH,,ALL,2012,4990
BIH,,ALL,2013,5270
BIH,,ALL,2014,5300
BIH,,ALL,2015,5210
BIH,,ALL,2016,5130
BIH,,ALL,2017,5110
BIH,,ALL,2018,5740
BLR,,ALL,1992,1790
BLR,,ALL,1993,1600
BLR,,ALL,1994,1460
BLR,,ALL,1995,1370
BLR,,ALL,1996,1450
BLR,,ALL,1997,1530
BLR,,ALL,1998,1550
BLR,,ALL,1999,1400
BLR,,ALL,2000,1380
BLR,,ALL,2001,1300
BLR,,ALL,2002,1380
