COUNTRY,COUNTRY_GRP,YEAR,VALUE
EST,,2010,76.11
,NORDIC,1976,74.21
DNK,,1986,74.91
HUN,,2014,76.02
DNK,,1993,75.37
ARM,,1976,72.68
RUS,,2011,70.03
,WHO_EURO,2002,74.22
HUN,,2015,76.01
DEU,,1998,77.83
LVA,,1988,71
ISR,,2008,81.24
PRT,,1988,73.84
FRA,,2012,82.32
,WHO_EURO,2001,74.21
,EU_MEMBERS,1987,74.78
DNK,,1972,73.51
EST,,2005,73.08
BIH,,2014,77.54
SVK,,1982,70.86
SVK,,1986,70.92
,NORDIC,2006,80.13
ITA,,1971,71.89
MDA,,2015,71.65
SMR,,1996,81.41
DNK,,2002,77.27
LVA,,1995,66.44
POL,,2012,76.97
,NORDIC,2002,78.94
LTU,,1986,72.32
CZE,,2006,76.82
ESP,,2012,82.56
ARM,,1985,72.57
DNK,,2015,81.03
CZE,,2009,77.5
MLT,,1981,71.29
CZE,,2003,75.4
GEO,,2009,73.77
GRC,,2010,80.69
KAZ,,2001,65.88
ITA,,2010,82.5
RUS,,1995,64.7
ARM,,1980,72.89
DNK,,2011,80.07
SVK,,1985,70.83
,EU_AFTER_MAY2004,2012,76.26
DNK,,1998,76.74
SMR,,2005,82.78
LVA,,1983,69.43
,NORDIC,1997,78.08
GRC,,1977,74.73
GRC,,2011,80.9
ISR,,2014,82.79
GEO,,2015,73.01
PRT,,1979,70.84
ARM,,1990,72.08
DNK,,1970,73.51
RUS,,1997,66.88
LVA,,1994,65.62
,NORDIC,2015,81.85
IRL,,1988,74.33
LVA,,1985,69.58
,WHO_EURO,1997,73.62
ARM,,1989,72.25
,WHO_EURO,1995,72.75
DNK,,1999,76.53
ALB,,2008,78.9
SMR,,2006,81.7
,NORDIC,2004,79.58
SVK,,1980,70.5
LVA,,1974,69.95
GEO,,1986,71.84
SVK,,1984,70.85
,EU_AFTER_MAY2004,1994,71.02
ITA,,2002,80.38
ARM,,1974,73.45
AUT,,2008,80.72
UZB,,1980,67.16
,CARINFONET,1988,68.25
,EU_AFTER_MAY2004,2013,76.58
DNK,,1989,75.12
CZE,,2002,75.51
RUS,,1991,69.03
RUS,,2008,68.02
,CIS,1991,69.22
RUS,,1972,68.76
FIN,,2014,81.35
,NORDIC,1994,77.58
RUS,,1973,68.76
ISL,,1987,77.45
,NORDIC,1971,73.41
DEU,,2004,79.36
DNK,,1971,73.51
,EU_AFTER_MAY2004,2014,76.95
HUN,,1970,69.3
CZE,,1992,72.43
RUS,,1987,70
UKR,,2010,70.32
CYP,,2016,82.74
ARM,,2014,75.18
DNK,,1995,75.47
SWE,,2001,80.01
AUT,,1971,70.28
KGZ,,1997,66.78
,EU_MEMBERS,1981,73.58
BEL,,2000,77.96
BLR,,2011,70.77
RUS,,1998,67.24
LVA,,1991,69.18
IRL,,1991,75.03
RUS,,2003,64.97
RUS,,2000,65.46
CZE,,1996,74.02
ARM,,1972,73.25
KGZ,,2010,69.51
DEU,,2012,81.08
RUS,,2005,65.42
,CIS,1987,70.06
,CIS,1988,69.7
GRC,,2009,80.34
ARM,,1979,72.54
,SEEHN,2014,76.35
,NORDIC,1984,75.97
RUS,,1971,68.86
,EU_MEMBERS,2007,79.36
,NORDIC,1993,76.99
RUS,,1974,68.77
SMR,,1997,82.37
LTU,,2012,74.16
