text
#HeatWave | Do's and don'ts https://t.co/oDoGWMizlv
#HeatWave | What are the signs and symptoms of a heatstroke? <U+0001F447> https://t.co/4fn8D9QxMU
#HeatWave | <U+091C><U+093E><U+0928><U+093F><U+090F> <U+0906><U+092A> <U+0932><U+0942>\<U+0917><U+0930><U+094D><U+092E> <U+0939><U+0935><U+093E> <U+0938><U+0947> <U+092C><U+091A><U+0928><U+0947> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+0915><U+094D><U+092F><U+093E> <U+0915><U+0930><U+0947><U+0902> <U+0914><U+0930> <U+0915><U+094D><U+092F><U+093E> <U+0928> <U+0915><U+0930><U+0947><U+0902><U+0964> https://t.co/bnOAj8k7Cd
#HeatWave | Avoid going out in the sun especially between 12pm-3pm https://t.co/ZbM8O9Wn7L
#HeatWave | Make sure to keep yourself hydrated <U+0001F95B> during extreme heat! <U+2600><U+FE0F> https://t.co/2EWqwluTiO
"#HeatWave | Working outdoors in heat wave? 

Follow these precautions to #StaySafe from extreme heat! https://t.co/qW7y9ghF1E"
"#HeatWave | Heat wave can be fatal for outdoor workers. 

Follow these do's and don'ts to #StaySafe during extreme heat

#BeatTheHeatIndia https://t.co/Es6iwDt3Fx"
<U+0001F525> 43�C/109�F in Khartoum (SD): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #khartoum #sudan <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 44�C/111�F in Khartoum (SD): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #khartoum #sudan <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 42�C/108�F in Ahmedabad (IN): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #ahmedabad #india <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 43�C/109�F in Niamey (NE): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #niamey #niger <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 36�C/98�F in Amravati (IN): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #amravati #india <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 42�C/108�F in Niamey (NE): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #niamey #niger <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 40�C/104�F in Mandalay (MM): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #mandalay #myanmar <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 38�C/100�F in Khulna (BD): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #khulna #bangladesh <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 39�C/102�F in Bamako (ML): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #bamako #mali <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 42�C/108�F in Omdurman (SD): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #omdurman #sudan <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 34�C/94�F in Allahabad (IN): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #allahabad #india <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 40�C/103�F in Khulna (BD): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #khulna #bangladesh <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 44�C/111�F in N'Djamena (TD): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #ndjamena #chad <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 40�C/104�F in Allahabad (IN): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #allahabad #india <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 44�C/112�F in Omdurman (SD): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #omdurman #sudan <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 42�C/108�F in N'Djamena (TD): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #ndjamena #chad <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 43�C/109�F in N'Djamena (TD): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #ndjamena #chad <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 41�C/106�F in Nay Pyi Taw (MM): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #naypyitaw #myanmar <U+2600><U+FE0F><U+0001F334>
<U+0001F525> 35�C/94�F in Amravati (IN): hottest city in the world right now! <U+2728> #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #amravati #india <U+2600><U+FE0F><U+0001F334>
